"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"232","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.6,12.1,12.8,NA,"Assam","","","",""
"233","102. Blood sugar level - high (141-160 mg/dl)23 (%)",8.8,8.3,8.4,NA,"Assam","","","",""
"234","103. Blood sugar level - very high (>160 mg/dl)23 (%)",9.5,5.6,6.2,NA,"Assam","","","",""
"235","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",20.4,15.2,16,NA,"Assam","","","",""
"236","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12,10.8,11,NA,"Assam","","","",""
"237","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",5.1,4.7,4.8,NA,"Assam","","","",""
"238","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",22.5,18.5,19.1,NA,"Assam","","","",""
"239","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.8,12.7,12.9,NA,"Assam","","","",""
"240","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",5.3,4.2,4.4,NA,"Assam","","","",""
"241","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",23.8,19.6,20.3,NA,"Assam","","","",""
"242","111. Ever undergone a screening test for cervical cancer (%)",0.6,0.1,0.2,NA,"Assam","","","",""
"243","112. Ever undergone a breast examination for breast cancer (%)",0.4,0.2,0.2,NA,"Assam","","","",""
"244","113. Ever undergone an oral cavity examination for oral cancer (%)",0.4,0.2,0.2,NA,"Assam","","","",""
"245","114. Ever undergone an oral cavity examination for oral cancer (%)",0,1.6,1.4,NA,"Assam","","","",""
"246","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",24.1,18.3,19.2,9.4,"Assam","","","",""
"247","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",29,24.6,25.3,22.5,"Assam","","","",""
"248","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",76.3,70.6,71.5,44.6,"Assam","","","",""
"249","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",86.9,84.9,85.2,70.6,"Assam","","","",""
"250","119. Currently married women who usually participate in three household decisions25 (%)",93.9,91.8,92.1,87.4,"Assam","","","",""
"251","120. Women who worked in the last 12 months and were paid in cash (%)",17.2,19.3,19,17,"Assam","","","",""
"252","121. Women owning a house and/or land (alone or jointly with others) (%)",36.3,43.9,42.7,52.3,"Assam","","","",""
"253","122. Women having a bank or savings account that they themselves use (%)",81.9,77.9,78.5,45.4,"Assam","","","",""
"254","123. Women having a mobile phone that they themselves use (%)",75.4,53.9,57.2,46,"Assam","","","",""
"255","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",82.9,63.8,66.3,44.8,"Assam","","","",""
"256","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",26.6,32.9,32,24.5,"Assam","","","",""
"257","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.2,2.3,2.3,2,"Assam","","","",""
"258","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",7.4,8.1,8,5.8,"Assam","","","",""
"259","128. Women age 15 years and above who use any kind of tobacco (%)",16.2,23.2,22.1,NA,"Assam","","","",""
"260","129. Men age 15 years and above who use any kind of tobacco (%)",43.9,53.3,51.8,NA,"Assam","","","",""
"261","130. Women age 15 years and above who consume alcohol (%)",2.6,8.2,7.3,NA,"Assam","","","",""
"262","131. Men age 15 years and above who consume alcohol (%)",21.3,25.9,25.1,NA,"Assam","","","",""
"263","1. Female population age 6 years and above who ever attended school (%)",74.2,58.7,61.1,56.9,"Bihar","","","",""
"264","2. Population below age 15 years (%)",31.6,37.2,36.4,39.3,"Bihar","","","",""
"265","3. Sex ratio of the total population (females per 1,000 males)",982,1111,1090,1062,"Bihar","","","",""
"266","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",940,903,908,934,"Bihar","","","",""
"267","5. Children under age 5 years whose birth was registered with the civil authority (%)",75.4,75.7,75.6,60.7,"Bihar","","","",""
"268","6. Deaths in the last 3 years registered with the civil authority (%)",47.7,35.5,37.1,NA,"Bihar","","","",""
"269","7. Population living in households with electricity (%)",96.2,96.3,96.3,60,"Bihar","","","",""
"270","8. Population living in households with an improved drinking-water source1 (%)",99.5,99.2,99.2,98.4,"Bihar","","","",""
"271","9. Population living in households that use an improved sanitation facility2 (%)",69.2,45.7,49.4,26.5,"Bihar","","","",""
"272","10. Households using clean fuel for cooking3 (%)",78.6,30.3,37.8,17.8,"Bihar","","","",""
"273","11. Households using iodized salt (%)",96.2,92.8,93.3,93.6,"Bihar","","","",""
"274","12. Households with any usual member covered under a health insurance/financing scheme (%)",11.6,15.1,14.6,12.3,"Bihar","","","",""
"275","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",18.5,10.5,11.5,NA,"Bihar","","","",""
"276","14. Women who are literate4 (%)",74.9,54.5,57.8,NA,"Bihar","","","",""
"277","15. Men who are literate4 (%)",84,77,78.5,NA,"Bihar","","","",""
"278","16. Women with 10 or more years of schooling (%)",48,25.2,28.8,22.8,"Bihar","","","",""
"279","17. Men with 10 or more years of schooling (%)",57.1,38.9,42.8,42.5,"Bihar","","","",""
"280","18. Women who have ever used the internet (%)",38.4,17,20.6,NA,"Bihar","","","",""
"281","19. Men who have ever used the internet (%)",58.4,39.4,43.6,NA,"Bihar","","","",""
"282","20. Women age 20-24 years married before age 18 years (%)",27.9,43.4,40.8,42.5,"Bihar","","","",""
"283","21. Men age 25-29 years married before age 21 years (%)",18.3,34.3,30.5,35.3,"Bihar","","","",""
"284","22. Total fertility rate (children per woman)",2.4,3.1,3,3.4,"Bihar","","","",""
"285","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",7.4,11.6,11,12.2,"Bihar","","","",""
"286","24. Adolescent fertility rate for women age 15-19 years5",60,80,77,77,"Bihar","","","",""
"287","25. Neonatal mortality rate (NNMR)",29.5,35.2,34.5,36.7,"Bihar","","","",""
"288","26. Infant mortality rate (IMR)",43.1,47.3,46.8,48.1,"Bihar","","","",""
"289","27. Under-five mortality rate (U5MR)",50,57.4,56.4,58.1,"Bihar","","","",""
"290","28. Any method6 (%)",62.3,54.6,55.8,24.1,"Bihar","","","",""
"291","29. Any modern method6 (%)",47,43.9,44.4,23.3,"Bihar","","","",""
"292","30. Female sterilization (%)",31.8,35.3,34.8,20.7,"Bihar","","","",""
"293","31. Male sterilization (%)",0.2,0.1,0.1,0,"Bihar","","","",""
"294","32. IUD/PPIUD (%)",1.3,0.7,0.8,0.5,"Bihar","","","",""
"295","33. Pill (%)",3.6,1.8,2,0.8,"Bihar","","","",""
"296","34. Condom (%)",7.3,3.4,4,1,"Bihar","","","",""
"297","35. Injectables (%)",1.1,1.1,1.1,0.3,"Bihar","","","",""
"298","36. Total unmet need7 (%)",11.5,13.9,13.6,21.2,"Bihar","","","",""
"299","37. Unmet need for spacing7 (%)",5,6.3,6.1,9.4,"Bihar","","","",""
"300","38. Health worker ever talked to female non-users about family planning (%)",17.5,20.7,20.2,12,"Bihar","","","",""
"301","39. Current users ever told about side effects of current method8 (%)",49.3,50,49.9,34.4,"Bihar","","","",""
"302","40. Mothers who had an antenatal check-up in the first trimester (%)",59.8,51.9,52.9,34.6,"Bihar","","","",""
"303","41. Mothers who had at least 4 antenatal care visits (%)",32.4,24,25.2,14.4,"Bihar","","","",""
"304","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",90.5,89.4,89.5,89.6,"Bihar","","","",""
"305","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",26,16.7,18,9.7,"Bihar","","","",""
"306","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",15.3,8.3,9.3,2.3,"Bihar","","","",""
"307","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",85,90.2,89.5,79.9,"Bihar","","","",""
"308","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",62.6,56.5,57.3,42.3,"Bihar","","","",""
"309","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3511,2771,2848,1784,"Bihar","","","",""
"310","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",3.1,2.9,2.9,1.8,"Bihar","","","",""
"311","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",66.1,58.2,59.3,NA,"Bihar","","","",""
"312","50. Institutional births (%)",84.1,75,76.2,63.8,"Bihar","","","",""
"313","51. Institutional births in public facility (%)",47.4,58.3,56.9,47.6,"Bihar","","","",""
"314","52. Home births that were conducted by skilled health personnel10 (%)",3.6,6.5,6.1,8.2,"Bihar","","","",""
"315","53. Births attended by skilled health personnel10 (%)",83.1,78.3,79,70,"Bihar","","","",""
"316","54. Births delivered by caesarean section (%)",15.7,8.8,9.7,6.2,"Bihar","","","",""
"317","55. Births in a private health facility that were delivered by caesarean section (%)",36.7,40.6,39.6,31,"Bihar","","","",""
"318","56. Births in a public health facility that were delivered by caesarean section (%)",4.7,3.5,3.6,2.6,"Bihar","","","",""
"319","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",66.7,71.6,71,61.7,"Bihar","","","",""
"320","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",77.4,83.4,82.7,77.1,"Bihar","","","",""
"321","59. Children age 12-23 months who have received BCG (%)",95.3,95.6,95.5,91.6,"Bihar","","","",""
"322","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",71.1,76.2,75.5,72.9,"Bihar","","","",""
"323","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",83,85.3,85,80.1,"Bihar","","","",""
"324","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",84.2,86,85.7,79.4,"Bihar","","","",""
"325","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",35.1,29.1,29.9,NA,"Bihar","","","",""
"326","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",4.9,3.1,3.4,NA,"Bihar","","","",""
"327","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",80.2,82.6,82.3,65.5,"Bihar","","","",""
"328","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",52.5,56.5,56,62.3,"Bihar","","","",""
"329","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",91.1,97.4,96.6,95.5,"Bihar","","","",""
"330","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",7.4,1.4,2.2,3.9,"Bihar","","","",""
"331","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",12.6,13.9,13.7,10.4,"Bihar","","","",""
"332","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",56.7,58.4,58.2,45.2,"Bihar","","","",""
"333","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",25.3,25.6,25.6,20.1,"Bihar","","","",""
"334","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",63.2,64.9,64.7,54.9,"Bihar","","","",""
"335","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",3,3.6,3.5,2.5,"Bihar","","","",""
"336","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",67.8,69.6,69.4,59.8,"Bihar","","","",""
"337","75. Children under age 3 years breastfed within one hour of birth15 (%)",35.1,30.5,31.1,34.9,"Bihar","","","",""
"338","76. Children under age 6 months exclusively breastfed16 (%)",55.8,59.4,58.9,53.4,"Bihar","","","",""
"339","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",38.8,39,39,30.8,"Bihar","","","",""
"340","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",8.2,11.2,10.8,7.3,"Bihar","","","",""
"341","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",13.8,11.1,11.5,9.2,"Bihar","","","",""
"342","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",9.2,11.2,10.9,7.5,"Bihar","","","",""
"343","81. Children under 5 years who are stunted (height-for-age)18 (%)",36.8,43.9,42.9,48.3,"Bihar","","","",""
"344","82. Children under 5 years who are wasted (weight-for-height)18 (%)",21.6,23.1,22.9,20.8,"Bihar","","","",""
"345","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",7.7,9,8.8,7,"Bihar","","","",""
"346","84. Children under 5 years who are underweight (weight-for-age)18 (%)",35.8,41.8,41,43.9,"Bihar","","","",""
"347","85. Children under 5 years who are overweight (weight-for-height)20 (%)",2.2,2.4,2.4,1.2,"Bihar","","","",""
"348","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",18.7,26.9,25.6,30.4,"Bihar","","","",""
"349","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",12.9,23.8,21.5,25.4,"Bihar","","","",""
"350","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",25.2,14.2,15.9,11.7,"Bihar","","","",""
"351","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",18.7,13.6,14.7,12.6,"Bihar","","","",""
"352","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",68.4,58.8,60.3,NA,"Bihar","","","",""
"353","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",54.8,45.9,47.7,NA,"Bihar","","","",""
"354","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",67.9,69.7,69.4,63.5,"Bihar","","","",""
"355","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",66,63.1,63.6,60.4,"Bihar","","","",""
"356","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",56.1,63.9,63.1,58.3,"Bihar","","","",""
"357","95. All women age 15-49 years who are anaemic22 (%)",65.6,63.1,63.5,60.3,"Bihar","","","",""
"358","96. All women age 15-19 years who are anaemic22 (%)",67.2,65.4,65.7,61,"Bihar","","","",""
"359","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",27.1,30.1,29.5,32.3,"Bihar","","","",""
"360","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",33,35.2,34.8,37.8,"Bihar","","","",""
"361","99. Blood sugar level - high (141-160 mg/dl)23 (%)",7.2,6.3,6.4,NA,"Bihar","","","",""
"362","100. Blood sugar level - very high (>160 mg/dl)23 (%)",8,4.9,5.4,NA,"Bihar","","","",""
"363","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.3,12,12.7,NA,"Bihar","","","",""
"364","102. Blood sugar level - high (141-160 mg/dl)23 (%)",10.2,7.8,8.3,NA,"Bihar","","","",""
"365","103. Blood sugar level - very high (>160 mg/dl)23 (%)",9.2,6.5,7,NA,"Bihar","","","",""
"366","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",20.3,15.4,16.2,NA,"Bihar","","","",""
"367","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",9,8.6,8.7,NA,"Bihar","","","",""
"368","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",3.2,3.7,3.6,NA,"Bihar","","","",""
"369","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",16.6,15.8,15.9,NA,"Bihar","","","",""
"370","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",11.7,11,11.2,NA,"Bihar","","","",""
